# route_trace v1
# model=/data/local/tmp/shardllm/gpt-oss-120b-Q4_K_M.gguf arch=gpt-oss n_layer=36 n_expert=128 n_expert_used=2
# layer=0 expert_bytes=13219200 dense_bytes=23280128
# layer=1 expert_bytes=13219200 dense_bytes=23280128
# layer=2 expert_bytes=13219200 dense_bytes=23280128
# layer=3 expert_bytes=13219200 dense_bytes=23280128
# layer=4 expert_bytes=13219200 dense_bytes=22727168
# layer=5 expert_bytes=13219200 dense_bytes=22727168
# layer=6 expert_bytes=13219200 dense_bytes=23280128
# layer=7 expert_bytes=13219200 dense_bytes=22727168
# layer=8 expert_bytes=13219200 dense_bytes=22727168
# layer=9 expert_bytes=13219200 dense_bytes=23280128
# layer=10 expert_bytes=13219200 dense_bytes=22727168
# layer=11 expert_bytes=13219200 dense_bytes=22727168
# layer=12 expert_bytes=13219200 dense_bytes=23280128
# layer=13 expert_bytes=13219200 dense_bytes=22727168
# layer=14 expert_bytes=13219200 dense_bytes=22727168
# layer=15 expert_bytes=13219200 dense_bytes=23280128
# layer=16 expert_bytes=13219200 dense_bytes=22727168
# layer=17 expert_bytes=13219200 dense_bytes=22727168
# layer=18 expert_bytes=13219200 dense_bytes=23280128
# layer=19 expert_bytes=13219200 dense_bytes=22727168
# layer=20 expert_bytes=13219200 dense_bytes=22727168
# layer=21 expert_bytes=13219200 dense_bytes=23280128
# layer=22 expert_bytes=13219200 dense_bytes=22727168
# layer=23 expert_bytes=13219200 dense_bytes=22727168
# layer=24 expert_bytes=13219200 dense_bytes=23280128
# layer=25 expert_bytes=13219200 dense_bytes=22727168
# layer=26 expert_bytes=13219200 dense_bytes=22727168
# layer=27 expert_bytes=13219200 dense_bytes=23280128
# layer=28 expert_bytes=13219200 dense_bytes=22727168
# layer=29 expert_bytes=13219200 dense_bytes=22727168
# layer=30 expert_bytes=13219200 dense_bytes=23280128
# layer=31 expert_bytes=13219200 dense_bytes=23280128
# layer=32 expert_bytes=13219200 dense_bytes=23280128
# layer=33 expert_bytes=13219200 dense_bytes=23280128
# layer=34 expert_bytes=13219200 dense_bytes=23280128
# layer=35 expert_bytes=13219200 dense_bytes=23280128
turn,phase,step,layer,slot,expert,weight,residency,expert_bytes
0,0,51,1,0,55,0.698686,0,13219200
0,0,51,1,1,107,0.301314,0,0
0,0,52,1,0,21,0.664485,0,0
0,0,52,1,1,49,0.335515,0,13219200
0,0,53,1,0,15,0.536657,0,0
0,0,53,1,1,53,0.463343,0,13219200
0,0,54,1,0,92,0.752513,0,0
0,0,54,1,1,17,0.247487,0,0
0,0,55,1,0,29,0.507994,0,0
0,0,55,1,1,111,0.492006,0,13219200
0,0,56,1,0,37,0.538174,0,0
0,0,56,1,1,74,0.461826,0,0
0,0,57,1,0,8,0.529657,0,13219200
0,0,57,1,1,109,0.470343,0,0
0,0,58,1,0,42,0.623146,0,13219200
0,0,58,1,1,21,0.376854,0,0
0,0,59,1,0,107,0.503853,0,0
0,0,59,1,1,55,0.496147,0,0
0,0,60,1,0,52,0.534231,0,0
0,0,60,1,1,64,0.465769,0,0
0,0,61,1,0,64,0.691171,0,0
0,0,61,1,1,52,0.308829,0,0
0,0,62,1,0,3,0.556071,0,13219200
0,0,62,1,1,126,0.443929,0,0
0,0,63,1,0,52,0.572206,0,0
0,0,63,1,1,123,0.427794,0,0
0,0,64,1,0,29,0.631827,0,0
0,0,64,1,1,104,0.368173,0,0
0,0,65,1,0,58,0.652222,0,13219200
0,0,65,1,1,76,0.347778,0,0
0,0,66,1,0,91,0.708174,0,0
0,0,66,1,1,108,0.291826,0,13219200
0,0,67,1,0,93,0.535372,0,0
0,0,67,1,1,60,0.464628,0,0
0,0,68,1,0,22,0.738303,0,13219200
0,0,68,1,1,25,0.261697,0,13219200
0,0,69,1,0,123,0.564671,0,0
0,0,69,1,1,92,0.435329,0,0
0,0,70,1,0,105,0.743288,0,0
0,0,70,1,1,60,0.256712,0,0
0,0,71,1,0,0,0.63596,0,0
0,0,71,1,1,21,0.36404,0,0
0,0,72,1,0,104,0.725239,0,0
0,0,72,1,1,15,0.274761,0,0
0,0,73,1,0,58,0.588528,0,0
0,0,73,1,1,8,0.411472,0,0
0,0,74,1,0,21,0.510066,0,0
0,0,74,1,1,105,0.489934,0,0
0,0,75,1,0,104,0.580676,0,0
0,0,75,1,1,85,0.419324,0,13219200
0,0,76,1,0,97,0.580227,0,13219200
0,0,76,1,1,8,0.419773,0,0
0,0,77,1,0,42,0.581524,0,0
0,0,77,1,1,2,0.418476,0,13219200
0,0,78,1,0,107,0.611992,0,0
0,0,78,1,1,55,0.388008,0,0
0,0,79,1,0,123,0.503832,0,0
0,0,79,1,1,52,0.496169,0,0
0,0,80,1,0,64,0.721372,0,0
0,0,80,1,1,52,0.278628,0,0
0,0,81,1,0,21,0.684307,0,0
0,0,81,1,1,126,0.315693,0,0
0,0,82,1,0,88,0.50347,0,13219200
0,0,82,1,1,41,0.49653,0,13219200
0,0,83,1,0,5,0.515007,0,0
0,0,83,1,1,60,0.484993,0,0
0,0,84,1,0,52,0.719238,0,0
0,0,84,1,1,123,0.280762,0,0
0,0,0,2,0,112,0.575654,0,13219200
0,0,0,2,1,92,0.424346,0,13219200
0,0,1,2,0,43,0.845423,0,13219200
0,0,1,2,1,119,0.154577,0,13219200
0,0,2,2,0,58,0.608657,0,13219200
0,0,2,2,1,92,0.391343,0,0
0,0,3,2,0,100,0.54217,0,13219200
0,0,3,2,1,92,0.457831,0,0
0,0,4,2,0,62,0.649068,0,13219200
0,0,4,2,1,6,0.350932,0,13219200
0,0,5,2,0,42,0.578882,0,13219200
0,0,5,2,1,0,0.421118,0,13219200
0,0,6,2,0,42,0.508807,0,0
0,0,6,2,1,24,0.491193,0,13219200
0,0,7,2,0,9,0.530947,0,13219200
0,0,7,2,1,88,0.469053,0,13219200
0,0,8,2,0,100,0.736025,0,0
0,0,8,2,1,86,0.263975,0,13219200
0,0,9,2,0,7,0.790999,0,13219200
0,0,9,2,1,75,0.209001,0,13219200
0,0,10,2,0,16,0.537225,0,13219200
0,0,10,2,1,14,0.462775,0,13219200
0,0,11,2,0,42,0.528475,0,0
0,0,11,2,1,14,0.471525,0,0
0,0,12,2,0,127,0.649148,0,13219200
0,0,12,2,1,70,0.350852,0,13219200
0,0,13,2,0,102,0.88335,0,13219200
0,0,13,2,1,16,0.11665,0,0
0,0,14,2,0,42,0.61022,0,0
0,0,14,2,1,23,0.38978,0,13219200
0,0,15,2,0,42,0.64417,0,0
0,0,15,2,1,21,0.35583,0,13219200
0,0,16,2,0,88,0.601848,0,0
0,0,16,2,1,13,0.398152,0,13219200
0,0,17,2,0,45,0.568746,0,13219200
0,0,17,2,1,0,0.431254,0,0
0,0,18,2,0,42,0.609037,0,0
0,0,18,2,1,91,0.390963,0,13219200
0,0,19,2,0,40,0.792269,0,13219200
0,0,19,2,1,95,0.207731,0,13219200
0,0,20,2,0,81,0.560497,0,13219200
0,0,20,2,1,44,0.439503,0,13219200
0,0,21,2,0,90,0.558015,0,13219200
0,0,21,2,1,66,0.441985,0,13219200
0,0,22,2,0,77,0.658475,0,13219200
0,0,22,2,1,22,0.341525,0,13219200
0,0,23,2,0,57,0.82082,0,13219200
0,0,23,2,1,49,0.17918,0,13219200
0,0,24,2,0,77,0.517227,0,0
0,0,24,2,1,103,0.482773,0,13219200
0,0,25,2,0,92,0.679473,0,0
0,0,25,2,1,88,0.320527,0,0
0,0,26,2,0,84,0.715569,0,13219200
0,0,26,2,1,127,0.284431,0,0
0,0,27,2,0,0,0.518616,0,0
0,0,27,2,1,45,0.481384,0,0
0,0,28,2,0,40,0.855996,0,0
0,0,28,2,1,95,0.144004,0,0
0,0,29,2,0,44,0.502532,0,0
0,0,29,2,1,0,0.497468,0,0
0,0,30,2,0,90,0.579601,0,0
0,0,30,2,1,42,0.420399,0,0
0,0,31,2,0,77,0.737308,0,0
0,0,31,2,1,22,0.262692,0,0
0,0,32,2,0,57,0.836582,0,0
0,0,32,2,1,44,0.163418,0,0
0,0,33,2,0,77,0.628196,0,0
0,0,33,2,1,103,0.371804,0,0
0,0,34,2,0,43,0.762408,0,0
0,0,34,2,1,57,0.237592,0,0
0,0,35,2,0,77,0.724698,0,0
0,0,35,2,1,22,0.275302,0,0
0,0,36,2,0,92,0.723411,0,0
0,0,36,2,1,88,0.276589,0,0
0,0,37,2,0,30,0.553233,0,13219200
0,0,37,2,1,62,0.446767,0,0
0,0,38,2,0,45,0.721932,0,0
0,0,38,2,1,62,0.278068,0,0
0,0,39,2,0,40,0.781214,0,0
0,0,39,2,1,95,0.218786,0,0
0,0,40,2,0,49,0.76816,0,0
0,0,40,2,1,20,0.23184,0,13219200
0,0,41,2,0,92,0.556151,0,0
0,0,41,2,1,88,0.443849,0,0
0,0,42,2,0,92,0.688966,0,0
0,0,42,2,1,13,0.311034,0,0
0,0,43,2,0,127,0.612384,0,0
0,0,43,2,1,0,0.387616,0,0
0,0,44,2,0,71,0.517772,0,13219200
0,0,44,2,1,38,0.482227,0,13219200
0,0,45,2,0,40,0.734986,0,0
0,0,45,2,1,95,0.265014,0,0
0,0,46,2,0,45,0.563047,0,0
0,0,46,2,1,0,0.436953,0,0
0,0,47,2,0,9,0.50134,0,0
0,0,47,2,1,59,0.49866,0,13219200
0,0,48,2,0,12,0.518734,0,13219200
0,0,48,2,1,45,0.481266,0,0
0,0,49,2,0,9,0.515521,0,0
0,0,49,2,1,59,0.484479,0,0
0,0,50,2,0,45,0.594936,0,0
0,0,50,2,1,127,0.405064,0,0
0,0,51,2,0,88,0.540997,0,0
0,0,51,2,1,13,0.459003,0,0
0,0,52,2,0,0,0.530036,0,0
0,0,52,2,1,38,0.469964,0,0
0,0,53,2,0,48,0.539433,0,13219200
0,0,53,2,1,115,0.460567,0,13219200
0,0,54,2,0,23,0.565961,0,0
0,0,54,2,1,71,0.43404,0,0
0,0,55,2,0,127,0.511734,0,0
0,0,55,2,1,2,0.488266,0,13219200
0,0,56,2,0,65,0.544433,0,13219200
